CertificationID,UserID,CourseID,CompletionDuration,CompletionDate,Active
1,654,6,188,2020-09-21,true
2,212,124,52,2021-06-12,true
3,349,124,150,2020-11-13,true
4,733,18,259,2020-12-25,true
5,518,133,187,2020-11-11,true
6,768,1,260,2020-10-21,true
7,922,137,291,2021-06-26,true
8,883,19,108,2021-07-01,true
9,285,88,104,2020-12-27,true
10,576,89,285,2020-11-19,true
11,292,108,186,2021-05-30,true
12,130,73,198,2021-02-24,true
13,774,123,69,2020-09-17,true
14,181,111,300,2021-07-19,true
15,516,59,137,2021-05-06,true
16,12,19,142,2020-11-06,true
17,372,49,285,2021-02-04,true
18,12,53,166,2021-03-26,true
19,733,135,85,2021-03-09,true
20,49,27,89,2021-01-20,true
21,188,55,243,2021-01-09,true
22,20,88,255,2021-05-13,true
23,230,18,166,2020-10-14,true
24,121,142,208,2021-01-24,true
25,490,14,181,2021-04-04,true
26,847,7,280,2020-10-07,true
27,909,37,247,2020-10-13,true
28,292,97,262,2020-11-27,true
29,706,98,269,2020-09-12,true
30,814,47,230,2021-04-26,true
31,756,67,180,2021-05-16,true
32,306,52,131,2020-12-13,true
33,78,72,97,2021-05-06,true
34,745,120,234,2020-12-31,true
35,717,133,212,2020-11-08,true
36,608,54,225,2020-10-19,true
37,512,130,75,2021-02-25,true
38,349,140,247,2021-05-03,true
39,398,132,139,2021-05-30,true
40,51,113,230,2021-07-31,true
41,996,84,193,2021-04-25,true
42,825,12,297,2020-10-23,true
43,919,84,226,2021-04-19,true
44,286,100,296,2020-08-19,true
45,499,40,292,2021-03-09,true
46,760,47,204,2021-05-09,true
47,338,59,130,2020-10-24,true
48,97,74,106,2020-12-19,true
49,437,20,145,2020-11-12,true
50,652,85,95,2021-01-31,true
51,216,45,270,2021-05-10,true
52,645,80,280,2020-11-03,true
53,916,119,181,2021-03-13,true
54,256,13,66,2021-01-23,true
55,694,135,174,2020-10-24,true
56,529,134,147,2021-02-16,true
57,928,124,279,2021-07-24,true
58,534,66,171,2021-06-16,true
59,642,76,126,2021-01-10,true
60,359,128,179,2021-03-29,true
61,840,4,182,2021-04-03,true
62,783,76,73,2021-05-29,true
63,126,129,61,2021-04-26,true
64,396,104,87,2021-02-10,true
65,801,41,192,2021-06-16,true
66,956,74,254,2021-05-22,true
67,100,58,210,2020-10-05,true
68,437,149,140,2020-09-15,true
69,971,82,101,2021-05-24,true
70,223,125,202,2021-02-19,true
71,372,79,125,2021-07-01,true
72,304,18,261,2021-01-23,true
73,374,129,237,2021-07-22,true
74,755,2,264,2021-04-17,true
75,225,17,250,2021-05-18,true
76,249,84,213,2020-11-16,true
77,936,112,73,2021-06-03,true
78,915,72,160,2020-09-06,true
79,218,62,297,2021-07-12,true
80,467,4,158,2021-04-03,true
81,623,89,242,2020-09-12,true
82,826,77,205,2020-11-03,true
83,762,140,215,2020-12-01,true
84,503,40,53,2021-05-26,true
85,504,24,151,2020-10-23,true
86,239,17,195,2021-07-02,true
87,104,81,145,2021-07-29,true
88,526,97,138,2020-11-22,true
89,243,68,219,2020-08-06,true
90,141,32,161,2020-10-14,true
91,918,90,93,2021-03-20,true
92,101,121,202,2021-03-10,true
93,653,129,57,2021-06-19,true
94,280,96,254,2021-02-15,true
95,830,127,86,2021-01-18,true
96,255,86,62,2020-08-01,true
97,509,95,159,2021-07-18,true
98,734,28,203,2020-12-16,true
99,152,41,182,2021-07-16,true
100,541,102,245,2021-01-15,true
